('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         855346 function calls (834383 primitive calls) in 5.671 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      984    3.795    0.004    3.795    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.227    0.227    0.227    0.227 {method 'connect' of '_socket.socket' objects}
        1    0.144    0.144    0.144    0.144 {method 'do_handshake' of '_ssl._SSLSocket' objects}
     4469    0.122    0.000    0.673    0.000 parser.py:300(parse_starttag)
    39759    0.091    0.000    0.091    0.000 {method 'match' of 're.Pattern' objects}
        2    0.081    0.040    1.069    0.535 parser.py:133(goahead)
     4470    0.056    0.000    0.146    0.000 element.py:1813(__init__)
     4469    0.048    0.000    0.330    0.000 __init__.py:990(handle_starttag)
     4469    0.045    0.000    0.066    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
        1    0.043    0.043    0.046    0.046 {built-in method _socket.getaddrinfo}
     4469    0.041    0.000    0.391    0.000 _htmlparser.py:142(handle_starttag)
     4470    0.041    0.000    0.043    0.000 __init__.py:812(pushTag)
     4469    0.038    0.000    0.180    0.000 _htmlparser.py:204(handle_endtag)
    12994    0.037    0.000    0.037    0.000 element.py:382(setup)
 4447/174    0.036    0.000    0.096    0.001 sre_parse.py:494(_parse)
     9280    0.035    0.000    0.167    0.000 __init__.py:829(endData)
     4110    0.029    0.000    0.217    0.000 parser.py:385(parse_endtag)
     4468    0.028    0.000    0.054    0.000 __init__.py:953(_popToTag)
    17567    0.027    0.000    0.040    0.000 _markupbase.py:44(updatepos)
     2569    0.025    0.000    0.026    0.000 __init__.py:909(_linkage_fixer)
 4937/164    0.022    0.000    0.045    0.000 sre_compile.py:87(_compile)
    13109    0.021    0.000    0.021    0.000 {method 'search' of 're.Pattern' objects}
9111/9089    0.021    0.000    0.031    0.000 typing.py:306(inner)
     4262    0.021    0.000    0.063    0.000 __init__.py:870(object_was_parsed)
     4469    0.020    0.000    0.022    0.000 __init__.py:789(popTag)
    22876    0.019    0.000    0.019    0.000 {method 'group' of 're.Match' objects}
     4262    0.017    0.000    0.035    0.000 __init__.py:735(string_container)
     4262    0.015    0.000    0.032    0.000 element.py:1478(__new__)
    89010    0.015    0.000    0.015    0.000 {method 'append' of 'list' objects}
       87    0.015    0.000    0.015    0.000 {built-in method marshal.loads}
     2888    0.014    0.000    0.018    0.000 __init__.py:91(_replace_charref)
     4469    0.014    0.000    0.047    0.000 parser.py:351(check_for_whole_start_tag)
    12911    0.013    0.000    0.013    0.000 {method 'count' of 'str' objects}
56535/56533    0.012    0.000    0.012    0.000 {built-in method builtins.isinstance}
65677/60118    0.012    0.000    0.014    0.000 {built-in method builtins.len}
    27435    0.011    0.000    0.011    0.000 {method 'get' of 'dict' objects}
     3450    0.011    0.000    0.011    0.000 {method 'findall' of 're.Pattern' objects}
     4620    0.011    0.000    0.011    0.000 {built-in method __new__ of type object at 0x560e0b37e9a0}
