('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         855433 function calls (834462 primitive calls) in 4.877 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    89054    0.012    0.000    0.012    0.000 {method 'append' of 'list' objects}
65671/60104    0.011    0.000    0.012    0.000 {built-in method builtins.len}
56545/56543    0.010    0.000    0.011    0.000 {built-in method builtins.isinstance}
    39803    0.069    0.000    0.069    0.000 {method 'match' of 're.Pattern' objects}
    27443    0.008    0.000    0.008    0.000 {method 'get' of 'dict' objects}
    25114    0.008    0.000    0.011    0.000 sre_parse.py:165(__getitem__)
    24511    0.006    0.000    0.006    0.000 {method 'end' of 're.Match' objects}
    23699    0.006    0.000    0.006    0.000 {method 'lower' of 'str' objects}
    22906    0.014    0.000    0.014    0.000 {method 'group' of 're.Match' objects}
    18826    0.009    0.000    0.009    0.000 sre_parse.py:234(__next)
    17710    0.007    0.000    0.007    0.000 {method 'startswith' of 'str' objects}
    17575    0.019    0.000    0.029    0.000 _markupbase.py:44(updatepos)
    13418    0.003    0.000    0.003    0.000 typing.py:1737(cast)
    13358    0.003    0.000    0.003    0.000 {built-in method builtins.min}
    13115    0.016    0.000    0.016    0.000 {method 'search' of 're.Pattern' objects}
    12996    0.031    0.000    0.031    0.000 element.py:382(setup)
    12915    0.009    0.000    0.009    0.000 {method 'count' of 'str' objects}
    11538    0.004    0.000    0.010    0.000 sre_parse.py:255(get)
    10887    0.003    0.000    0.004    0.000 sre_parse.py:161(__len__)
    10386    0.006    0.000    0.023    0.000 __init__.py:122(unescape)
     9365    0.003    0.000    0.006    0.000 sre_parse.py:250(match)
     9284    0.026    0.000    0.116    0.000 __init__.py:829(endData)
9113/9091    0.010    0.000    0.017    0.000 typing.py:306(inner)
     8973    0.003    0.000    0.003    0.000 {method 'start' of 're.Match' objects}
     7392    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
     7366    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     6579    0.002    0.000    0.003    0.000 sre_parse.py:173(append)
     6273    0.001    0.000    0.008    0.000 {built-in method builtins.next}
     5933    0.002    0.000    0.002    0.000 element.py:3090(descendants)
     5932    0.003    0.000    0.008    0.000 filter.py:726(match)
     5826    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
     5445    0.002    0.000    0.002    0.000 sre_parse.py:112(__init__)
     5192    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
 4937/164    0.019    0.000    0.040    0.000 sre_compile.py:87(_compile)
 4849/309    0.008    0.000    0.011    0.000 sre_parse.py:175(getwidth)
     4620    0.008    0.000    0.009    0.000 {built-in method __new__ of type object at 0x564a80ca89a0}
     4573    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     4533    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     4472    0.020    0.000    0.022    0.000 __init__.py:812(pushTag)
     4472    0.003    0.000    0.003    0.000 __init__.py:290(can_be_empty_element)
     4472    0.003    0.000    0.003    0.000 __init__.py:636(set_up_substitutions)
     4472    0.041    0.000    0.111    0.000 element.py:1813(__init__)
     4471    0.028    0.000    0.288    0.000 _htmlparser.py:142(handle_starttag)
     4471    0.027    0.000    0.130    0.000 _htmlparser.py:204(handle_endtag)
     4471    0.085    0.000    0.490    0.000 parser.py:300(parse_starttag)
     4471    0.010    0.000    0.035    0.000 parser.py:351(check_for_whole_start_tag)
     4471    0.002    0.000    0.002    0.000 _markupbase.py:36(getpos)
     4471    0.014    0.000    0.016    0.000 __init__.py:789(popTag)
     4471    0.048    0.000    0.244    0.000 __init__.py:990(handle_starttag)
