('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         944592 function calls (920275 primitive calls) in 8.976 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.005    5.005    5.005    5.005 {built-in method time.sleep}
      343    1.632    0.005    1.632    0.005 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.198    0.198    0.198    0.198 {method 'connect' of '_socket.socket' objects}
        1    0.172    0.172    0.172    0.172 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.140    0.140    0.140    0.140 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
     4457    0.112    0.000    0.633    0.000 parser.py:300(parse_starttag)
    39652    0.094    0.000    0.094    0.000 {method 'match' of 're.Pattern' objects}
        2    0.084    0.042    1.102    0.551 parser.py:133(goahead)
 4800/214    0.062    0.000    0.167    0.001 sre_parse.py:494(_parse)
     4457    0.061    0.000    0.084    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
     4699    0.060    0.000    0.061    0.000 {built-in method __new__ of type object at 0x556abdd1c9a0}
     4458    0.053    0.000    0.161    0.000 element.py:1813(__init__)
        1    0.051    0.051    0.051    0.051 {built-in method _socket.getaddrinfo}
     4457    0.046    0.000    0.309    0.000 __init__.py:990(handle_starttag)
     4457    0.039    0.000    0.366    0.000 _htmlparser.py:142(handle_starttag)
     4457    0.039    0.000    0.234    0.000 _htmlparser.py:204(handle_endtag)
    12982    0.037    0.000    0.037    0.000 element.py:382(setup)
     9256    0.036    0.000    0.206    0.000 __init__.py:829(endData)
      165    0.036    0.000    0.036    0.000 {built-in method marshal.loads}
 5594/202    0.034    0.000    0.077    0.000 sre_compile.py:87(_compile)
     4098    0.030    0.000    0.274    0.000 parser.py:385(parse_endtag)
     4456    0.027    0.000    0.053    0.000 __init__.py:953(_popToTag)
      263    0.026    0.000    0.026    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    17519    0.026    0.000    0.051    0.000 _markupbase.py:44(updatepos)
     4262    0.025    0.000    0.063    0.000 __init__.py:870(object_was_parsed)
    12887    0.025    0.000    0.025    0.000 {method 'count' of 'str' objects}
     4458    0.024    0.000    0.027    0.000 __init__.py:812(pushTag)
    13102    0.023    0.000    0.023    0.000 {method 'search' of 're.Pattern' objects}
     2569    0.020    0.000    0.021    0.000 __init__.py:909(_linkage_fixer)
    22792    0.019    0.000    0.019    0.000 {method 'group' of 're.Match' objects}
     4457    0.019    0.000    0.021    0.000 __init__.py:789(popTag)
    25816    0.018    0.000    0.018    0.000 sre_parse.py:234(__next)
    98088    0.018    0.000    0.018    0.000 {method 'append' of 'list' objects}
  582/579    0.018    0.000    0.129    0.000 {built-in method builtins.__build_class__}
64396/64390    0.017    0.000    0.018    0.000 {built-in method builtins.isinstance}
      927    0.017    0.000    0.025    0.000 sre_compile.py:292(_optimize_charset)
     4262    0.016    0.000    0.027    0.000 __init__.py:735(string_container)
74739/68362    0.016    0.000    0.019    0.000 {built-in method builtins.len}
     4262    0.015    0.000    0.079    0.000 element.py:1478(__new__)
    30024    0.015    0.000    0.021    0.000 sre_parse.py:165(__getitem__)
 5554/396    0.014    0.000    0.019    0.000 sre_parse.py:175(getwidth)
     4457    0.014    0.000    0.047    0.000 parser.py:351(check_for_whole_start_tag)
9162/9138    0.013    0.000    0.028    0.000 typing.py:306(inner)
    28054    0.012    0.000    0.012    0.000 {method 'get' of 'dict' objects}
     3451    0.012    0.000    0.012    0.000 {method 'findall' of 're.Pattern' objects}
 1299/203    0.012    0.000    0.168    0.001 sre_parse.py:436(_parse_sub)
     2888    0.010    0.000    0.014    0.000 __init__.py:91(_replace_charref)
     4456    0.010    0.000    0.195    0.000 __init__.py:1056(handle_endtag)
    18757    0.010    0.000    0.010    0.000 {method 'startswith' of 'str' objects}
    16927    0.009    0.000    0.021    0.000 sre_parse.py:255(get)
    24066    0.009    0.000    0.009    0.000 {method 'lower' of 'str' objects}
        1    0.008    0.008    0.008    0.008 models.py:909(text)
       10    0.008    0.001    0.034    0.003 filter.py:130(filter)
      982    0.007    0.000    0.021    0.000 {method 'sub' of 're.Pattern' objects}
      422    0.007    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
    24377    0.007    0.000    0.007    0.000 {method 'end' of 're.Match' objects}
    10294    0.007    0.000    0.028    0.000 __init__.py:122(unescape)
     4457    0.007    0.000    0.009    0.000 element.py:2007(is_empty_element)
      861    0.007    0.000    0.007    0.000 {built-in method posix.stat}
    11/10    0.007    0.001    0.013    0.001 {built-in method _imp.exec_dynamic}
     5930    0.006    0.000    0.018    0.000 filter.py:726(match)
    12434    0.006    0.000    0.011    0.000 sre_parse.py:250(match)
      264    0.006    0.000    0.033    0.000 response.py:137(decompress)
     4157    0.006    0.000    0.013    0.000 _htmlparser.py:222(handle_data)
       20    0.006    0.000    0.016    0.001 enum.py:180(__new__)
     4328    0.006    0.000    0.007    0.000 __init__.py:1068(handle_data)
     3109    0.005    0.000    0.009    0.000 filter.py:540(matches_tag)
        1    0.005    0.005    0.067    0.067 dammit.py:128(_populate_class_variables)
      165    0.005    0.000    0.005    0.000 {built-in method io.open_code}
    12699    0.005    0.000    0.007    0.000 sre_parse.py:161(__len__)
     11/9    0.005    0.000    0.007    0.001 {built-in method _imp.create_dynamic}
      228    0.005    0.000    0.498    0.002 {method 'read' of '_io.BufferedReader' objects}
      324    0.004    0.000    0.279    0.001 re.py:288(_compile)
     6272    0.004    0.000    0.004    0.000 sre_parse.py:112(__init__)
