('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         944888 function calls (920509 primitive calls) in 4.292 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      338    1.543    0.005    1.543    0.005 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.232    0.232    0.232    0.232 {method 'do_handshake' of '_ssl._SSLSocket' objects}
     4457    0.155    0.000    0.901    0.000 parser.py:300(parse_starttag)
        1    0.151    0.151    0.151    0.151 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        2    0.135    0.067    1.494    0.747 parser.py:133(goahead)
    39652    0.134    0.000    0.134    0.000 {method 'match' of 're.Pattern' objects}
        1    0.131    0.131    0.131    0.131 {method 'connect' of '_socket.socket' objects}
     4457    0.087    0.000    0.118    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
 4800/214    0.079    0.000    0.211    0.001 sre_parse.py:494(_parse)
     4458    0.074    0.000    0.224    0.000 element.py:1813(__init__)
     4457    0.067    0.000    0.445    0.000 __init__.py:990(handle_starttag)
     4457    0.057    0.000    0.525    0.000 _htmlparser.py:142(handle_starttag)
     4457    0.055    0.000    0.265    0.000 _htmlparser.py:204(handle_endtag)
    12982    0.052    0.000    0.052    0.000 element.py:382(setup)
     9256    0.050    0.000    0.228    0.000 __init__.py:829(endData)
 5594/202    0.043    0.000    0.091    0.000 sre_compile.py:87(_compile)
     4098    0.042    0.000    0.323    0.000 parser.py:385(parse_endtag)
     4456    0.039    0.000    0.075    0.000 __init__.py:953(_popToTag)
    17519    0.036    0.000    0.054    0.000 _markupbase.py:44(updatepos)
     4458    0.035    0.000    0.038    0.000 __init__.py:812(pushTag)
     4262    0.033    0.000    0.088    0.000 __init__.py:870(object_was_parsed)
     2569    0.032    0.000    0.033    0.000 __init__.py:909(_linkage_fixer)
    13102    0.031    0.000    0.031    0.000 {method 'search' of 're.Pattern' objects}
      260    0.028    0.000    0.028    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     4457    0.028    0.000    0.030    0.000 __init__.py:789(popTag)
      165    0.028    0.000    0.028    0.000 {built-in method marshal.loads}
    22792    0.026    0.000    0.026    0.000 {method 'group' of 're.Match' objects}
        1    0.025    0.025    0.025    0.025 {built-in method _socket.getaddrinfo}
     4262    0.025    0.000    0.040    0.000 __init__.py:735(string_container)
    98150    0.023    0.000    0.023    0.000 {method 'append' of 'list' objects}
    25816    0.023    0.000    0.023    0.000 sre_parse.py:234(__next)
     4262    0.021    0.000    0.047    0.000 element.py:1478(__new__)
9162/9138    0.021    0.000    0.035    0.000 typing.py:306(inner)
74853/68414    0.020    0.000    0.024    0.000 {built-in method builtins.len}
     4457    0.019    0.000    0.068    0.000 parser.py:351(check_for_whole_start_tag)
64458/64452    0.019    0.000    0.019    0.000 {built-in method builtins.isinstance}
    30086    0.019    0.000    0.027    0.000 sre_parse.py:165(__getitem__)
      927    0.018    0.000    0.026    0.000 sre_compile.py:292(_optimize_charset)
